author,comments,quoteauthor,quotefloor
见某卸甲,步行街的人真的不懂什么叫ky吗 由   见某卸甲 发表在虎扑·新垣结衣https://bbs.hupu.com/4696就在影视区有个帖子 问最喜欢我噶哪一年的容貌然后一楼就是说整容  还有两楼说喜欢其他女生 然后楼就歪了戏这么足吗[ 此帖被smile三岛花在2017-10-11 17:46修改 ],None,0
二院崔大夫,步行街的三观和标准一向歪的厉害，我现在都不看了。,None,0
夏洛特斯慕吉,喜欢嘎就别让她在步行街出现,None,0
夏尔的风,真的气，还好老婆的微笑治愈了我,None,0
神秘球迷大联盟,步行街暗流涌动，keyboys的圣地啊，很多人三观真的不行,None,0
啥玩意儿都感兴趣,带节奏的也不知道是哪些人，没关系，放宽心啦，爱她的人也很多啊,None,0
惨绿青年VINO,默默按举报吧，当然太过分的咱也不虚直接开撕，谁怕谁呢,None,0
leslie东,步行街那里真有毒，我有个朋友，快30了，之前混了混那里，现在弄的比*河蟹*还极端，别说三观了，整个人都歪了。,None,0
HR火翼,昨天看到真的生气，黑子为黑而黑,None,0
老科今天刮胡子了吗,步行街就是这样的，啥邪门歪道都有还有一群人觉得他们说的有理,None,0
我霖约什,步行街一大特点，就是自己不喜欢或者不了解的，就会很轻易地持否定态度。比如哪位问点儿稍微前沿点儿的问题，下面马上都说啊去搬砖吧之类的，干货越来越少。,None,0
night0083,步行街那里跟风黑太多，个个都是键盘侠,None,0
Curry殿下,别去那些地方讨论gakki，看的心烦又心疼,None,0
smile三岛花,说真的，在外面讨论gakki的都是路人dang，什么都不了解就整天老婆老婆的,Curry殿下,12
batistuta,都是跟风的，他们真的了解gakki吗？不过这也怪虎扑小编，卧谈会老用gakki的图，容易引起部分人的逆反心理，公众号也经常用gakki吸引流量，我不知道虎扑的那个青梅小编究竟是真爱粉还是流量dang,smile三岛花,13
smile三岛花,经常放Ｇａｋｋｉ图片这有利有弊，希望他是真爱吧。,batistuta,14
Curry殿下,是啊，老婆其实就是个梗而已，大家粉丝好玩儿调侃一下，结果什么路人都来一句你老婆真棒，神经病一样，好多人狗嘴里吐不出象牙，讲话难听至极，是个女明星就是整容的，我是真恶心外面那些人,smile三岛花,13
Kd35杜兰特威震天,那些说整容的也真是傻，那既然整了干嘛不把鼻梁再点高一点，脸削尖一点，嘴再弄小点顺便再把胸给隆了呗。gakki的特点不就在于是那种很亲近，不像那种卖弄风骚的，和传统上的‘标致’不太相同的美女吗，他们这帮黑子已经很无脑了，我们就别理他们了,None,0
